,0,1,2
0,0.4076923076923077,0.49230769230769234,0.1
1,0.4076923076923077,0.49230769230769234,0.1
2,0.4076923076923077,0.49230769230769234,0.1
3,0.4076923076923077,0.49230769230769234,0.1
4,0.4076923076923077,0.49230769230769234,0.1
5,0.4076923076923077,0.49230769230769234,0.1
6,0.4076923076923077,0.49230769230769234,0.1
7,0.4076923076923077,0.49230769230769234,0.1
8,0.4076923076923077,0.49230769230769234,0.1
9,0.4076923076923077,0.49230769230769234,0.1
10,0.4076923076923077,0.49230769230769234,0.1
11,0.4076923076923077,0.49230769230769234,0.1
12,0.4076923076923077,0.49230769230769234,0.1
13,0.4076923076923077,0.49230769230769234,0.1
14,0.4076923076923077,0.49230769230769234,0.1
15,0.4076923076923077,0.49230769230769234,0.1
16,0.4076923076923077,0.49230769230769234,0.1
17,0.4076923076923077,0.49230769230769234,0.1
18,0.4076923076923077,0.49230769230769234,0.1
19,0.4076923076923077,0.49230769230769234,0.1
20,0.4076923076923077,0.49230769230769234,0.1
21,0.4076923076923077,0.49230769230769234,0.1
22,0.4076923076923077,0.49230769230769234,0.1
23,0.4076923076923077,0.49230769230769234,0.1
24,0.4076923076923077,0.49230769230769234,0.1
25,0.4076923076923077,0.49230769230769234,0.1
26,0.4076923076923077,0.49230769230769234,0.1
27,0.4076923076923077,0.49230769230769234,0.1
28,0.4076923076923077,0.49230769230769234,0.1
29,0.4076923076923077,0.49230769230769234,0.1
30,0.4076923076923077,0.49230769230769234,0.1
31,0.4076923076923077,0.49230769230769234,0.1
32,0.4076923076923077,0.49230769230769234,0.1
33,0.4076923076923077,0.49230769230769234,0.1
34,0.4076923076923077,0.49230769230769234,0.1
35,0.4076923076923077,0.49230769230769234,0.1
36,0.4076923076923077,0.49230769230769234,0.1
37,0.4076923076923077,0.49230769230769234,0.1
38,0.4076923076923077,0.49230769230769234,0.1
39,0.4076923076923077,0.49230769230769234,0.1
40,0.4076923076923077,0.49230769230769234,0.1
41,0.4076923076923077,0.49230769230769234,0.1
42,0.4076923076923077,0.49230769230769234,0.1
43,0.4076923076923077,0.49230769230769234,0.1
44,0.4076923076923077,0.49230769230769234,0.1
45,0.4076923076923077,0.49230769230769234,0.1
46,0.4076923076923077,0.49230769230769234,0.1
47,0.4076923076923077,0.49230769230769234,0.1
48,0.4076923076923077,0.49230769230769234,0.1
49,0.4076923076923077,0.49230769230769234,0.1
50,0.4076923076923077,0.49230769230769234,0.1
51,0.4076923076923077,0.49230769230769234,0.1
52,0.4076923076923077,0.49230769230769234,0.1
53,0.4076923076923077,0.49230769230769234,0.1
54,0.4076923076923077,0.49230769230769234,0.1
55,0.4076923076923077,0.49230769230769234,0.1
56,0.4076923076923077,0.49230769230769234,0.1
57,0.4076923076923077,0.49230769230769234,0.1
58,0.4076923076923077,0.49230769230769234,0.1
59,0.4076923076923077,0.49230769230769234,0.1
60,0.4076923076923077,0.49230769230769234,0.1
61,0.4076923076923077,0.49230769230769234,0.1
62,0.4076923076923077,0.49230769230769234,0.1
63,0.4076923076923077,0.49230769230769234,0.1
64,0.4076923076923077,0.49230769230769234,0.1
65,0.4076923076923077,0.49230769230769234,0.1
66,0.4076923076923077,0.49230769230769234,0.1
67,0.4076923076923077,0.49230769230769234,0.1
68,0.4076923076923077,0.49230769230769234,0.1
69,0.4076923076923077,0.49230769230769234,0.1
70,0.4076923076923077,0.49230769230769234,0.1
71,0.4076923076923077,0.49230769230769234,0.1
72,0.4076923076923077,0.49230769230769234,0.1
73,0.4076923076923077,0.49230769230769234,0.1
74,0.4076923076923077,0.49230769230769234,0.1
75,0.4076923076923077,0.49230769230769234,0.1
76,0.4076923076923077,0.49230769230769234,0.1
77,0.4076923076923077,0.49230769230769234,0.1
78,0.4076923076923077,0.49230769230769234,0.1
79,0.4076923076923077,0.49230769230769234,0.1
80,0.4076923076923077,0.49230769230769234,0.1
81,0.4076923076923077,0.49230769230769234,0.1
82,0.4076923076923077,0.49230769230769234,0.1
83,0.4076923076923077,0.49230769230769234,0.1
84,0.4076923076923077,0.49230769230769234,0.1
85,0.4076923076923077,0.49230769230769234,0.1
